userId,movieId,rating
1,23,5.0
1,1,2.5
1,50,3.0
1,5,2.0
1,55,3.5
1,19,3.5
1,11,3.5
1,34,4.5
1,46,3.5
1,13,3.5
1,32,4.0
1,10,3.0
1,68,4.5
1,6,2.5
1,63,5.0
1,31,4.5
1,59,3.0
1,36,1.0
1,58,4.5
1,48,4.5
1,17,4.5
2,69,4.5
2,31,4.5
2,21,1.0
2,49,4.0
2,8,3.5
2,16,3.0
2,46,2.5
2,18,3.5
2,62,5.0
2,56,3.5
2,65,4.0
2,20,4.5
2,50,3.5
2,43,5.0
2,25,5.0
3,14,3.0
3,43,5.0
3,30,4.0
3,25,3.0
3,10,5.0
3,35,5.0
3,15,4.0
3,46,5.0
3,42,3.0
3,13,3.5
3,21,4.5
3,12,4.5
3,70,4.5
3,62,3.5
3,18,5.0
3,55,4.5
3,40,5.0
3,8,4.5
3,57,4.0
3,36,4.0
3,61,3.5
3,7,5.0
3,31,5.0
3,60,3.5
3,49,3.5
3,52,4.0
3,67,3.5
3,48,5.0
3,27,3.0
3,63,1.0
3,20,4.0
3,68,3.0
3,29,3.5
3,45,4.5
3,41,4.5
3,9,3.5
3,58,4.0
3,16,4.0
3,47,4.0
3,22,3.0
3,50,4.0
3,34,5.0
3,5,4.0
3,24,5.0
4,43,2.0
4,50,5.0
4,20,2.0
4,54,4.0
4,57,3.5
4,14,4.0
4,5,3.5
4,63,3.0
4,40,5.0
4,67,4.5
4,38,4.5
4,12,3.0
4,13,2.0
4,34,3.5
4,36,4.0
4,26,3.5
4,45,4.5
4,58,3.5
4,7,5.0
4,16,4.0
4,11,4.5
4,9,3.0
4,1,3.5
4,8,4.0
4,60,3.0
4,65,3.0
4,10,5.0
4,27,4.5
4,2,2.0
4,51,3.5
4,22,3.5
4,15,4.5
4,42,3.0
4,66,3.0
4,39,2.5
4,47,3.5
4,25,4.0
4,18,2.0
4,3,5.0
4,59,3.5
4,23,3.0
5,6,3.0
5,32,3.5
5,7,2.0
5,27,4.0
5,9,3.5
5,41,4.0
5,8,3.5
5,52,4.0
5,54,3.5
5,53,3.0
5,11,4.0
5,20,4.0
5,25,3.5
5,15,5.0
5,56,2.0
5,67,3.5
5,60,5.0
5,18,4.0
5,45,3.5
5,17,4.0
5,2,4.0
5,40,4.5
5,44,3.0
5,4,3.0
5,13,4.0
5,34,4.5
5,24,4.0
5,69,3.0
5,38,4.0
5,19,4.5
5,42,3.0
5,35,3.5
5,31,4.0
5,49,4.0
5,10,3.5
5,23,3.5
6,22,4.5
6,15,4.0
6,48,3.5
6,20,5.0
6,46,2.5
6,37,4.0
6,51,1.0
6,44,4.0
6,27,2.0
6,32,2.5
6,4,2.5
6,30,4.0
6,1,4.5
6,57,4.0
6,24,5.0
6,3,3.5
6,65,3.5
6,68,4.5
6,41,3.0
6,2,5.0
6,50,1.0
6,34,5.0
6,33,2.0
6,8,5.0
6,13,4.0
6,43,5.0
6,7,2.5
6,6,4.0
6,38,5.0
6,17,4.0
6,40,4.0
6,26,4.0
6,10,4.0
7,4,4.0
7,70,4.0
7,49,4.5
7,65,5.0
7,7,4.0
7,69,4.5
7,14,4.5
7,44,3.5
7,19,3.0
7,21,3.0
7,62,3.0
7,43,3.5
7,59,3.0
7,45,5.0
7,32,4.5
7,55,2.0
7,11,3.0
7,46,2.0
7,15,4.0
7,40,4.0
7,34,4.5
7,22,3.5
7,1,4.5
7,31,5.0
7,23,2.5
7,63,4.5
7,39,4.0
7,47,4.0
7,48,3.5
7,30,4.5
7,61,4.0
7,10,4.5
7,2,5.0
7,25,4.0
7,5,5.0
8,46,3.5
8,35,4.5
8,37,4.5
8,22,3.0
8,40,3.0
8,67,3.5
8,66,4.0
8,7,4.0
8,39,3.5
8,53,4.0
8,15,4.5
8,49,2.0
8,47,3.0
8,14,4.5
8,62,5.0
8,12,4.0
8,9,4.0
8,68,2.5
8,1,3.5
8,48,4.0
8,54,3.0
8,28,3.0
8,50,3.5
8,21,2.0
8,65,3.5
8,19,3.0
8,26,3.5
8,18,2.5
8,59,5.0
8,27,4.0
8,33,4.0
8,32,4.5
9,32,4.5
9,51,2.5
9,16,4.0
9,25,5.0
9,7,3.5
9,70,4.0
9,65,3.5
9,1,4.0
9,61,4.0
9,67,4.0
9,29,3.0
9,14,4.0
9,10,2.5
9,23,3.0
9,5,1.0
9,12,2.5
9,13,4.0
9,68,4.0
9,44,4.5
9,35,2.5
9,54,4.5
9,19,4.5
9,27,3.5
9,38,5.0
9,17,5.0
9,62,3.0
9,60,3.5
10,61,2.0
10,65,4.0
10,34,4.5
10,20,5.0
10,9,3.5
10,56,4.5
10,47,2.5
10,29,4.5
10,28,3.0
10,12,3.5
10,31,4.5
10,66,3.0
10,1,3.0
10,13,4.5
10,52,4.5
11,50,3.5
11,59,3.5
11,65,4.5
11,2,4.0
11,24,3.0
11,44,4.0
11,7,3.0
11,3,3.0
11,34,4.0
11,17,3.5
11,39,5.0
11,30,3.5
11,63,4.0
11,16,4.0
11,56,1.0
11,42,4.0
11,48,3.0
11,15,5.0
11,32,3.0
11,19,3.5
11,66,2.5
11,41,5.0
11,51,4.0
11,21,4.0
11,45,2.5
11,54,4.5
11,1,3.0
11,57,5.0
11,64,3.0
11,22,3.0
11,35,2.0
11,60,4.0
11,14,4.0
12,6,3.5
12,41,4.0
12,35,3.0
12,36,4.0
12,17,3.5
12,13,4.0
12,15,3.5
12,9,3.5
12,2,5.0
12,26,4.5
12,12,3.0
12,67,4.5
12,30,4.0
12,25,5.0
12,44,4.5
12,54,3.5
12,60,2.0
12,69,3.0
12,18,4.0
12,27,4.0
12,53,3.0
12,21,3.0
12,22,4.5
12,5,5.0
12,20,4.0
12,64,3.0
12,16,3.5
12,11,1.0
12,31,5.0
12,59,2.5
12,14,4.0
12,42,3.5
13,66,1.0
13,70,2.5
13,65,3.5
13,14,4.5
13,51,5.0
13,61,4.5
13,64,4.0
13,59,4.0
13,23,2.5
13,56,5.0
13,16,4.5
13,38,4.0
13,39,4.5
13,30,4.5
13,47,4.0
13,8,5.0
13,18,5.0
13,32,4.0
13,48,4.0
13,9,2.0
13,49,4.0
13,69,2.0
13,13,4.0
13,54,5.0
13,41,4.0
13,44,4.0
13,3,3.5
13,19,3.0
13,20,4.5
